IUPAC,Galectin-3 (20ug/ml) Slide:13619,Gal-3C (0.5ug/ml) Slide:15163,Gal-3C (2ug/ml) Slide:15156,Gal-3C (5ug/ml) Slide:15161,Gal-3C (20ug/ml) Slide:15157,Gal-3C (50ug/ml) Slide:15162,binding
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,7.362575,13.1471,7.58595,15.9054,12.651475,13.944275,low
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,9.9807,5.113875,27.8145,46.00365,34.829425,44.90545,low
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,12.122025,15.996925,12.804875,68.02035,4.741525,24.0958,low
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,10.763325,4.97615,13.12245,12.920125,17.279275,12.70785,low
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,8.477425,29.15305,36.76805,44.962425,44.5266,56.559075,low
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,5.43665,4.1423,13.583475,9.170675,16.523775,12.399475,low
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,23.191,25.0123,17.412375,24.3116,17.31455,23.649625,low
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,11.384975,11.071375,13.538425,24.008075,11.7982,15.863025,low
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,5.3379,23.39615,19.4567,16.865225,18.12685,17.46495,low
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,21.257675,5.150175,19.67885,20.59515,10.516225,19.031375,low
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,12.576975,4.02305,20.95205,14.847025,25.18535,16.17055,low
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,32.067925,18.795225,1.80905,16.411225,10.9324,17.359775,low
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,11.795225,10.48465,16.005225,61.4584,335.398625,701.7205,low
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,6.948225,16.473875,19.268025,41.1064,349.236025,569.43985,low
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,11.629075,27.33635,14.816225,32.28975,42.811625,59.3754,low
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,1.444475,12.61505,12.210825,7.5358,8.5228,16.008275,low
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.372125,26.416375,22.023,35.373825,9.91015,38.60845,low
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.27185,31.598475,11.464125,23.659375,22.81815,45.552425,low
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.8976,10.182475,24.71325,20.7965,36.42005,55.9554,low
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1.1839,9.35115,12.408775,18.347275,10.45395,16.32835,low
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,20.67405,21.0676,329.672025,912.745375,3423.999325,6750.62645,medium
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,36.429975,45.30925,613.2849,1437.659875,5577.478125,9892.960325,medium
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,4.337125,7.0202,9.081125,25.165975,14.381125,6.604975,low
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,10.70555,16.263675,12.3638,37.400025,102.68245,101.665975,low
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,6.13605,7.677825,17.53315,16.0068,24.89245,29.7898,low
Fuc(a1-2)Gal(b1-Sp8,7.693525,19.230525,21.793075,30.056175,45.02915,42.03435,low
Fuc(a1-3)GlcNAc(b1-Sp8,4.953575,8.97575,24.8541,16.283975,9.18475,16.900275,low
Fuc(a1-4)GlcNAc(b1-Sp8,11.65885,26.422825,15.05525,45.48135,22.523825,34.786275,low
Fuc(b1-3)GlcNAc(b1-Sp8,8.14465,6.005425,10.274425,34.298125,25.116825,19.751875,low
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,5.7922,18.70025,31.5984,56.462775,343.552375,1302.498725,low
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,31.8364,41.2369,43.494325,37.950575,32.997775,70.699675,low
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,11.4676,14.08195,13.800825,29.140325,14.20545,11.601875,low
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,13.454275,36.2201,221.4858,415.67975,1549.977725,4286.684975,medium
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,32.91065,13.98135,246.973525,765.234075,3022.161375,6412.7708,medium
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,25.285225,22.353525,16.056525,78.60055,322.592625,1187.650475,low
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,12.4196,11.004225,16.9314,29.034875,25.09945,21.673325,low
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,-0.13315,7.119375,9.906925,18.750975,8.7335,31.90495,low
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,7.820775,25.64255,11.971225,24.044075,15.69345,18.069975,low
GalNAc(a1-3)GalNAc(b1-Sp8,8.360825,22.584125,14.588025,21.184525,26.4469,14.325875,low
GalNAc(a1-3)Gal(b1-Sp8,7.60985,10.22245,9.309325,4.806,8.118775,12.74285,low
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,24.01645,4.3848,9.425625,16.308475,24.4091,46.98665,low
GalNAc(b1-3)GalNAc(a1-Sp8,6.81795,29.55555,10.057825,23.68715,21.0262,12.935275,low
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,15.233125,29.054925,20.384725,21.9856,14.350275,22.1208,low
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,18.5885,27.8119,34.1914,16.1542,34.866075,70.54705,low
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,18.9776,15.171275,39.103575,30.43485,45.199775,32.552625,low
GalNAc(b1-4)GlcNAc(b1-Sp0,27.262925,27.2462,33.637775,45.192425,40.719125,47.478225,low
GalNAc(b1-4)GlcNAc(b1-Sp8,13.51355,15.3707,36.470325,29.647175,40.729575,78.12575,low
Gal(a1-2)Gal(b1-Sp8,18.415575,5.66995,7.61085,7.391425,8.969725,6.58355,low
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,6.7652,21.427425,165.58645,537.30115,1291.4379,3238.40815,medium
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,14.17785,71.071775,244.885375,528.464825,1190.7558,3916.238675,medium
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.4305,37.042075,20.912375,45.0561,39.128175,39.046275,low
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,16.261975,17.597025,12.251175,17.7121,21.109275,30.1504,low
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,119.2171,55.17265,587.506325,1896.45115,4657.323975,13292.07558,medium
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,8.298525,30.15505,38.14235,75.5583,127.982625,502.12,low
